XXXXXXXXX,-1.0
.XXXXXXXX,-1.0
OXXXXXXXX,-1.0
X.XXXXXXX,-1.0
..XXXXXXX,-1.0
O.XXXXXXX,-1.0
XOXXXXXXX,-1.0
.OXXXXXXX,-1.0
OOXXXXXXX,-1.0
XX.XXXXXX,-1.0
.X.XXXXXX,-1.0
OX.XXXXXX,-1.0
X..XXXXXX,-1.0
...XXXXXX,-1.0
O..XXXXXX,-1.0
XO.XXXXXX,-1.0
.O.XXXXXX,-1.0
OO.XXXXXX,-1.0
XXOXXXXXX,-1.0
.XOXXXXXX,-1.0
OXOXXXXXX,-1.0
X.OXXXXXX,-1.0
..OXXXXXX,-1.0
O.OXXXXXX,-1.0
XOOXXXXXX,-1.0
.OOXXXXXX,-1.0
OOOXXXXXX,-1.0
XXX.XXXXX,-1.0
.XX.XXXXX,-1.0
OXX.XXXXX,-1.0
X.X.XXXXX,-1.0
..X.XXXXX,-1.0
O.X.XXXXX,-1.0
XOX.XXXXX,-1.0
.OX.XXXXX,-1.0
OOX.XXXXX,-1.0
XX..XXXXX,-1.0
.X..XXXXX,-1.0
OX..XXXXX,-1.0
X...XXXXX,-1.0
....XXXXX,-1.0
O...XXXXX,-1.0
XO..XXXXX,-1.0
.O..XXXXX,-1.0
OO..XXXXX,-1.0
XXO.XXXXX,-1.0
.XO.XXXXX,-1.0
OXO.XXXXX,-1.0
X.O.XXXXX,-1.0
..O.XXXXX,-1.0
O.O.XXXXX,-1.0
XOO.XXXXX,-1.0
.OO.XXXXX,-1.0
OOO.XXXXX,-1.0
XXXOXXXXX,-1.0
.XXOXXXXX,-1.0
OXXOXXXXX,-1.0
X.XOXXXXX,-1.0
..XOXXXXX,-1.0
O.XOXXXXX,-1.0
XOXOXXXXX,-1.0
.OXOXXXXX,-1.0
OOXOXXXXX,-1.0
XX.OXXXXX,-1.0
.X.OXXXXX,-1.0
OX.OXXXXX,-1.0
X..OXXXXX,-1.0
...OXXXXX,-1.0
O..OXXXXX,-1.0
XO.OXXXXX,-1.0
.O.OXXXXX,-1.0
OO.OXXXXX,-1.0
XXOOXXXXX,-1.0
.XOOXXXXX,-1.0
OXOOXXXXX,-1.0
X.OOXXXXX,-1.0
..OOXXXXX,-1.0
O.OOXXXXX,-1.0
XOOOXXXXX,-1.0
.OOOXXXXX,-1.0
OOOOXXXXX,-1.0
XXXX.XXXX,-1.0
.XXX.XXXX,-1.0
OXXX.XXXX,-1.0
X.XX.XXXX,-1.0
..XX.XXXX,-1.0
O.XX.XXXX,-1.0
XOXX.XXXX,-1.0
.OXX.XXXX,-1.0
OOXX.XXXX,-1.0
XX.X.XXXX,-1.0
.X.X.XXXX,-1.0
OX.X.XXXX,-1.0
X..X.XXXX,-1.0
...X.XXXX,-1.0
O..X.XXXX,-1.0
XO.X.XXXX,-1.0
.O.X.XXXX,-1.0
